IS_SEGMENTED, SEGMENT_SIZE,INDEX_SIZE,DOCUMENT_COUNT,GENERAL_SEARCH_TERM,GENERAL_SEARCH_TIME,SPECIFIC_SEARCH_TERM,SPECIFIC_SEARCH_TIME, WITH_HIGHLIGHT, FRAGMENT_SIZE, HIGHLIGHT_TIME
True,500,191mb,84751,prefeitura,813,,,,,,
True,500,191mb,84751,prefeitura,35,,,,,,
True,500,191mb,84751,prefeitura,22,,,,,,
True,500,191mb,84751,prefeitura,18,,,,,,
True,500,191mb,84751,prefeitura,18,,,,,,
True,500,191mb,84751,prefeitura,14,,,,,,
True,500,191mb,84751,prefeitura,15,,,,,,
True,500,191mb,84751,prefeitura,12,,,,,,
True,500,191mb,84751,prefeitura,10,,,,,,
True,500,191mb,84751,prefeitura,13,,,,,,
True,500,191mb,84751,prefeitura,17,,,,,,
True,500,191mb,84751,prefeitura,9,,,,,,
True,500,191mb,84751,prefeitura,9,,,,,,
True,500,191mb,84751,prefeitura,8,,,,,,
True,500,191mb,84751,prefeitura,13,,,,,,
True,500,191mb,84751,prefeitura,8,,,,,,
True,500,191mb,84751,prefeitura,13,,,,,,
True,500,191mb,84751,prefeitura,5,,,,,,
True,500,191mb,84751,prefeitura,11,,,,,,
True,500,191mb,84751,prefeitura,12,,,,,,
True,500,191mb,84751,prefeitura,26,,,,,,
True,500,191mb,84751,prefeitura,12,,,,,,
True,500,191mb,84751,prefeitura,8,,,,,,
True,500,191mb,84751,prefeitura,7,,,,,,
True,500,191mb,84751,prefeitura,9,,,,,,
True,500,191mb,84751,prefeitura,8,,,,,,
True,500,191mb,84751,prefeitura,10,,,,,,
True,500,191mb,84751,prefeitura,8,,,,,,
True,500,191mb,84751,prefeitura,5,,,,,,
True,500,191mb,84751,prefeitura,5,,,,,,
True,500,191mb,84751,prefeitura,7,,,,,,
True,500,191mb,84751,prefeitura,5,,,,,,
True,500,191mb,84751,prefeitura,7,,,,,,
True,500,191mb,84751,prefeitura,7,,,,,,
True,500,191mb,84751,prefeitura,9,,,,,,
True,500,191mb,84751,prefeitura,10,,,,,,
True,500,191mb,84751,prefeitura,12,,,,,,
True,500,191mb,84751,prefeitura,5,,,,,,
True,500,191mb,84751,prefeitura,5,,,,,,
True,500,191mb,84751,prefeitura,9,,,,,,
True,500,191mb,84751,prefeitura,6,,,,,,
True,500,191mb,84751,prefeitura,9,,,,,,
True,500,191mb,84751,prefeitura,273,,,,,,
True,500,191mb,84751,prefeitura,3,,,,,,
True,500,191mb,84751,prefeitura,4,,,,,,
True,500,191mb,84751,prefeitura,3,,,,,,
True,500,191mb,84751,prefeitura,6,,,,,,
True,500,191mb,84751,prefeitura,10,,,,,,
True,500,191mb,84751,prefeitura,7,,,,,,
True,500,191mb,84751,prefeitura,5,,,,,,
True,500,191mb,84751,prefeitura,5,,,,,,
True,500,191mb,84751,prefeitura,5,,,,,,
True,500,191mb,84751,prefeitura,5,,,,,,
True,500,191mb,84751,prefeitura,4,,,,,,
True,500,191mb,84751,prefeitura,3,,,,,,
True,500,191mb,84751,prefeitura,3,,,,,,
True,500,191mb,84751,prefeitura,4,,,,,,
True,500,191mb,84751,prefeitura,7,,,,,,
True,500,191mb,84751,prefeitura,5,,,,,,
True,500,191mb,84751,prefeitura,7,,,,,,
True,500,191mb,84751,prefeitura,10,,,,,,
True,500,191mb,84751,prefeitura,5,,,,,,
True,500,191mb,84751,prefeitura,7,,,,,,
True,500,191mb,84751,prefeitura,5,,,,,,
True,500,191mb,84751,prefeitura,5,,,,,,
