IS_SEGMENTED, SEGMENT_SIZE,INDEX_SIZE,DOCUMENT_COUNT,GENERAL_SEARCH_TERM,GENERAL_SEARCH_TIME,SPECIFIC_SEARCH_TERM,SPECIFIC_SEARCH_TIME, WITH_HIGHLIGHT, FRAGMENT_SIZE, HIGHLIGHT_TIME
True,1000,180.3mb,42500,diário,6,,,,,,
True,1000,180.3mb,42500,diário,9,,,,,,
True,1000,180.3mb,42500,diário,7,,,,,,
True,1000,180.3mb,42500,diário,8,,,,,,
True,1000,180.3mb,42500,diário,8,,,,,,
True,1000,180.3mb,42500,diário,5,,,,,,
True,1000,180.3mb,42500,diário,9,,,,,,
True,1000,180.3mb,42500,diário,6,,,,,,
True,1000,180.3mb,42500,diário,6,,,,,,
True,1000,180.3mb,42500,diário,14,,,,,,
True,1000,180.3mb,42500,diário,15,,,,,,
True,1000,180.3mb,42500,diário,35,,,,,,
True,1000,180.3mb,42500,diário,11,,,,,,
True,1000,180.3mb,42500,diário,16,,,,,,
True,1000,180.3mb,42500,diário,11,,,,,,
True,1000,180.3mb,42500,diário,13,,,,,,
True,1000,180.3mb,42500,diário,12,,,,,,
True,1000,180.3mb,42500,diário,12,,,,,,
True,1000,180.3mb,42500,diário,16,,,,,,
True,1000,180.3mb,42500,diário,15,,,,,,
True,1000,180.3mb,42500,diário,10,,,,,,
True,1000,180.3mb,42500,diário,10,,,,,,
True,1000,180.3mb,42500,diário,11,,,,,,
True,1000,180.3mb,42500,diário,10,,,,,,
True,1000,180.3mb,42500,diário,17,,,,,,
True,1000,180.3mb,42500,diário,27,,,,,,
True,1000,180.3mb,42500,diário,12,,,,,,
True,1000,180.3mb,42500,diário,15,,,,,,
True,1000,180.3mb,42500,diário,10,,,,,,
True,1000,180.3mb,42500,diário,14,,,,,,
True,1000,180.3mb,42500,diário,11,,,,,,
True,1000,180.3mb,42500,diário,11,,,,,,
True,1000,180.3mb,42500,diário,10,,,,,,
True,1000,180.3mb,42500,diário,12,,,,,,
True,1000,180.3mb,42500,diário,13,,,,,,
True,1000,180.3mb,42500,diário,11,,,,,,
True,1000,180.3mb,42500,diário,12,,,,,,
