IS_SEGMENTED, SEGMENT_SIZE,INDEX_SIZE,DOCUMENT_COUNT,GENERAL_SEARCH_TERM,GENERAL_SEARCH_TIME,SPECIFIC_SEARCH_TERM,SPECIFIC_SEARCH_TIME, WITH_HIGHLIGHT, FRAGMENT_SIZE, HIGHLIGHT_TIME
True,2000,175.6mb,21378,prefeitura,719,,,,,,
True,2000,175.6mb,21378,prefeitura,45,,,,,,
True,2000,175.6mb,21378,prefeitura,26,,,,,,
True,2000,175.6mb,21378,prefeitura,20,,,,,,
True,2000,175.6mb,21378,prefeitura,15,,,,,,
True,2000,175.6mb,21378,prefeitura,22,,,,,,
True,2000,175.6mb,21378,prefeitura,13,,,,,,
True,2000,175.6mb,21378,prefeitura,10,,,,,,
True,2000,175.6mb,21378,prefeitura,15,,,,,,
True,2000,175.6mb,21378,prefeitura,8,,,,,,
True,2000,175.6mb,21378,prefeitura,14,,,,,,
True,2000,175.6mb,21378,prefeitura,10,,,,,,
True,2000,175.6mb,21378,prefeitura,11,,,,,,
True,2000,175.6mb,21378,prefeitura,11,,,,,,
True,2000,175.6mb,21378,prefeitura,12,,,,,,
True,2000,175.6mb,21378,prefeitura,9,,,,,,
True,2000,175.6mb,21378,prefeitura,16,,,,,,
True,2000,175.6mb,21378,prefeitura,11,,,,,,
True,2000,175.6mb,21378,prefeitura,10,,,,,,
True,2000,175.6mb,21378,prefeitura,12,,,,,,
True,2000,175.6mb,21378,prefeitura,9,,,,,,
True,2000,175.6mb,21378,prefeitura,9,,,,,,
True,2000,175.6mb,21378,prefeitura,9,,,,,,
True,2000,175.6mb,21378,prefeitura,9,,,,,,
True,2000,175.6mb,21378,prefeitura,11,,,,,,
True,2000,175.6mb,21378,prefeitura,12,,,,,,
True,2000,175.6mb,21378,prefeitura,7,,,,,,
True,2000,175.6mb,21378,prefeitura,9,,,,,,
True,2000,175.6mb,21378,prefeitura,11,,,,,,
True,2000,175.6mb,21378,prefeitura,9,,,,,,
True,2000,175.6mb,21378,prefeitura,7,,,,,,
True,2000,175.6mb,21378,prefeitura,7,,,,,,
True,2000,175.6mb,21378,prefeitura,8,,,,,,
True,2000,175.6mb,21378,prefeitura,11,,,,,,
True,2000,175.6mb,21378,prefeitura,7,,,,,,
True,2000,175.6mb,21378,prefeitura,9,,,,,,
True,2000,175.6mb,21378,prefeitura,10,,,,,,
True,2000,175.6mb,21378,prefeitura,9,,,,,,
True,2000,175.6mb,21378,prefeitura,8,,,,,,
True,2000,175.6mb,21378,prefeitura,9,,,,,,
True,2000,175.6mb,21378,prefeitura,14,,,,,,
True,2000,175.6mb,21378,prefeitura,10,,,,,,
True,2000,175.6mb,21378,prefeitura,15,,,,,,
True,2000,175.6mb,21378,prefeitura,9,,,,,,
True,2000,175.6mb,21378,prefeitura,9,,,,,,
True,2000,175.6mb,21378,prefeitura,8,,,,,,
True,2000,175.6mb,21378,prefeitura,8,,,,,,
True,2000,175.6mb,21378,prefeitura,8,,,,,,
True,2000,175.6mb,21378,prefeitura,8,,,,,,
True,2000,175.6mb,21378,prefeitura,8,,,,,,
True,2000,175.6mb,21378,prefeitura,9,,,,,,
True,2000,175.6mb,21378,prefeitura,10,,,,,,
True,2000,175.6mb,21378,prefeitura,10,,,,,,
True,2000,175.6mb,21378,prefeitura,7,,,,,,
True,2000,175.6mb,21378,prefeitura,11,,,,,,
True,2000,175.6mb,21378,prefeitura,10,,,,,,
True,2000,175.6mb,21378,prefeitura,7,,,,,,
True,2000,175.6mb,21378,prefeitura,8,,,,,,
True,2000,175.6mb,21378,prefeitura,11,,,,,,
True,2000,175.6mb,21378,prefeitura,7,,,,,,
True,2000,175.6mb,21378,prefeitura,9,,,,,,
True,2000,175.6mb,21378,prefeitura,7,,,,,,
True,2000,175.6mb,21378,prefeitura,6,,,,,,
True,2000,175.6mb,21378,prefeitura,8,,,,,,
True,2000,175.6mb,21378,prefeitura,11,,,,,,
True,2000,175.6mb,21378,prefeitura,8,,,,,,
True,2000,175.6mb,21378,prefeitura,15,,,,,,
True,2000,175.6mb,21378,prefeitura,9,,,,,,
True,2000,175.6mb,21378,prefeitura,7,,,,,,
True,2000,175.6mb,21378,prefeitura,11,,,,,,
True,2000,175.6mb,21378,prefeitura,7,,,,,,
True,2000,175.6mb,21378,prefeitura,13,,,,,,
True,2000,175.6mb,21378,prefeitura,6,,,,,,
True,2000,175.6mb,21378,prefeitura,6,,,,,,
True,2000,175.6mb,21378,prefeitura,9,,,,,,
True,2000,175.6mb,21378,prefeitura,9,,,,,,
True,2000,175.6mb,21378,prefeitura,7,,,,,,
True,2000,175.6mb,21378,prefeitura,5,,,,,,
True,2000,175.6mb,21378,prefeitura,15,,,,,,
True,2000,175.6mb,21378,prefeitura,7,,,,,,
True,2000,175.6mb,21378,prefeitura,7,,,,,,
True,2000,175.6mb,21378,prefeitura,5,,,,,,
True,2000,175.6mb,21378,prefeitura,7,,,,,,
True,2000,175.6mb,21378,prefeitura,8,,,,,,
True,2000,175.6mb,21378,prefeitura,9,,,,,,
True,2000,175.6mb,21378,prefeitura,11,,,,,,
True,2000,175.6mb,21378,prefeitura,9,,,,,,
True,2000,175.6mb,21378,prefeitura,10,,,,,,
True,2000,175.6mb,21378,prefeitura,8,,,,,,
True,2000,175.6mb,21378,prefeitura,9,,,,,,
True,2000,175.6mb,21378,prefeitura,10,,,,,,
True,2000,175.6mb,21378,prefeitura,8,,,,,,
True,2000,175.6mb,21378,prefeitura,7,,,,,,
True,2000,175.6mb,21378,prefeitura,10,,,,,,
True,2000,175.6mb,21378,prefeitura,5,,,,,,
True,2000,175.6mb,21378,prefeitura,9,,,,,,
True,2000,175.6mb,21378,prefeitura,8,,,,,,
True,2000,175.6mb,21378,prefeitura,8,,,,,,
True,2000,175.6mb,21378,prefeitura,5,,,,,,
True,2000,175.6mb,21378,prefeitura,6,,,,,,
True,2000,175.6mb,21378,diário,11,,,,,,
True,2000,175.6mb,21378,diário,5,,,,,,
True,2000,175.6mb,21378,diário,7,,,,,,
True,2000,175.6mb,21378,diário,9,,,,,,
True,2000,175.6mb,21378,diário,5,,,,,,
True,2000,175.6mb,21378,diário,8,,,,,,
True,2000,175.6mb,21378,diário,5,,,,,,
True,2000,175.6mb,21378,diário,5,,,,,,
True,2000,175.6mb,21378,diário,8,,,,,,
True,2000,175.6mb,21378,diário,8,,,,,,
True,2000,175.6mb,21378,diário,46,,,,,,
True,2000,175.6mb,21378,diário,11,,,,,,
